MSO Group Name,Shop,WeekEndingCY,Net Sales - CY,Sales / Day,Net Sales - PY,Net Sales - YoY %,CPD,CPD - PY,Cars,Cars - PY,Cars - YoY %,Discounts $ - CY,Discounts % - CY,Discounts per Car - CY,Net ARO - CY,Net ARO - PY,Net ARO - YoY %,Prem Oil % - CY,Premium Oil % - PY,High Mileage Opportunity - CY,Big 5 % - CY,Air Filter % - CY,Wiper Blades % - CY,Premium Wiper Blades % - CY,Cabin Filter % - CY,Coolant % - CY,Fuel System Cleaner % - CY ,Oil Change Ticket Average - CY,BayTime,Customers New % - CY,Customers Repeat % - CY,Emission Tickets - CY,Emission Gross ARO - CY,Emissions with Oil Change Tickets - CY,Emissions with Big 5 % - CY,Emissions Penetration %,Fleet % of Oil Changes - CY,Fleet % of Oil Changes - PY,Fleet ARO - CY,Fleet Discount $ - CY,Fleet Discount % - CY,Fleet Net Sales - CY,Fleet Oil Changes - CY
WSM Ventures,1599,7/22/2023,"$19,816.96","$2,831",$0.00,-,29.6,0.0,207,0,0.0%,"$1,480.56",7.0%,$7.15,$95.73,$0.00,-100.0%,84.1%,0.0%,0.0%,44.0%,20.3%,7.7%,4.3%,9.2%,3.9%,2.9%,$95.25,10.9,27.6%,71.9%,0,$0.00,0,0.0%,0.0%,6.3%,0.0%,$90.43,$313.07,21.0%,"$1,175.58",13
WSM Ventures,1600,7/22/2023,"$15,330.68","$2,190",$0.00,-,24.0,0.0,168,0,0.0%,"$1,424.24",8.5%,$8.48,$91.25,$0.00,-100.0%,75.6%,0.0%,0.0%,50.0%,14.3%,11.3%,3.0%,11.3%,4.2%,8.9%,$90.39,11.9,23.9%,76.5%,0,$0.00,0,0.0%,0.0%,14.3%,0.0%,$97.95,$597.73,20.3%,"$2,350.76",24
WSM Ventures,1198,7/29/2023,"$22,675.65","$3,239",$0.00,-,34.0,0.0,238,0,0.0%,"$3,452.29",13.2%,$14.51,$95.28,$0.00,-100.0%,87.8%,0.0%,0.0%,44.5%,18.1%,4.2%,2.1%,6.7%,7.6%,8.0%,$93.50,10.6,25.9%,73.1%,0,$0.00,0,0.0%,0.0%,20.6%,0.0%,$63.48,"$1,628.03",34.4%,"$3,110.53",49
WSM Ventures,1199,7/29/2023,"$27,045.78","$3,864",$0.00,-,38.3,0.0,268,0,0.0%,"$1,519.91",5.3%,$5.67,$100.92,$0.00,-100.0%,82.8%,0.0%,0.0%,45.1%,18.3%,7.8%,3.0%,7.1%,3.0%,9.0%,$100.18,8.0,28.8%,69.9%,0,$0.00,0,0.0%,0.0%,3.4%,0.0%,$120.88,$136.29,11.1%,"$1,087.93",9
WSM Ventures,1200,7/29/2023,"$31,522.48","$4,503",$0.00,-,44.4,0.0,311,0,0.0%,"$1,515.24",4.6%,$4.87,$101.36,$0.00,-100.0%,83.6%,0.0%,0.0%,38.6%,12.5%,4.8%,3.5%,3.2%,1.9%,16.1%,$98.58,12.4,26.2%,71.2%,49,$21.82,3,4.1%,15.8%,3.2%,0.0%,$82.45,$219.64,21.0%,$824.49,10
WSM Ventures,1201,7/29/2023,"$20,064.89","$2,866",$0.00,-,28.7,0.0,201,0,0.0%,"$2,016.27",9.1%,$10.03,$99.83,$0.00,-100.0%,87.1%,0.0%,0.0%,52.7%,19.4%,4.5%,1.5%,16.4%,3.5%,9.0%,$98.28,12.4,36.1%,69.0%,0,$0.00,0,0.0%,0.0%,9.5%,0.0%,$57.10,$354.63,24.6%,"$1,084.92",19
WSM Ventures,1202,7/29/2023,"$30,731.90","$4,390",$0.00,-,41.3,0.0,289,0,0.0%,"$2,169.13",6.6%,$7.51,$106.34,$0.00,-100.0%,80.6%,0.0%,0.0%,49.1%,21.8%,4.8%,2.4%,8.7%,7.6%,6.2%,$105.64,13.5,27.1%,72.7%,0,$0.00,0,0.0%,0.0%,1.4%,0.0%,$57.24,$60.97,21.0%,$228.94,4
WSM Ventures,1203,7/29/2023,"$15,153.52","$2,165",$0.00,-,22.7,0.0,159,0,0.0%,"$1,419.09",8.6%,$8.93,$95.31,$0.00,-100.0%,77.4%,0.0%,0.0%,51.6%,18.2%,12.6%,5.7%,9.4%,3.8%,7.5%,$95.07,9.5,37.9%,53.4%,0,$0.00,0,0.0%,0.0%,13.8%,0.0%,$63.34,$499.32,26.4%,"$1,393.44",22
WSM Ventures,1204,7/29/2023,"$15,548.78","$2,221",$0.00,-,23.1,0.0,162,0,0.0%,$655.89,4.0%,$4.05,$95.98,$0.00,-100.0%,85.8%,0.0%,0.0%,29.6%,13.6%,4.9%,3.1%,2.5%,2.5%,6.2%,$95.17,9.2,53.5%,44.5%,0,$0.00,0,0.0%,0.0%,2.5%,0.0%,$104.76,$39.30,8.6%,$419.05,4
WSM Ventures,1205,7/29/2023,"$28,898.53","$4,128",$0.00,-,38.6,0.0,270,0,0.0%,"$2,413.23",7.7%,$8.94,$107.03,$0.00,-100.0%,87.4%,0.0%,0.0%,57.0%,17.0%,8.1%,5.2%,10.4%,13.0%,8.5%,$104.30,12.6,41.5%,56.2%,0,$0.00,0,0.0%,0.0%,10.4%,0.0%,$85.17,$778.71,24.6%,"$2,384.66",28
WSM Ventures,1206,7/29/2023,"$18,121.90","$2,589",$0.00,-,22.7,0.0,159,0,0.0%,"$1,444.53",7.4%,$9.09,$113.97,$0.00,-100.0%,92.5%,0.0%,0.0%,52.8%,27.7%,4.4%,2.5%,3.8%,11.3%,5.7%,$113.86,10.0,43.6%,59.4%,0,$0.00,0,0.0%,0.0%,5.0%,0.0%,$66.93,$165.34,23.6%,$535.44,8
WSM Ventures,1207,7/29/2023,"$15,789.73","$2,256",$0.00,-,24.3,0.0,170,0,0.0%,"$1,863.12",10.6%,$10.96,$92.88,$0.00,-100.0%,79.4%,0.0%,0.0%,41.2%,20.0%,3.5%,2.4%,12.9%,1.8%,2.9%,$91.49,11.5,33.3%,61.9%,0,$0.00,0,0.0%,0.0%,7.6%,0.0%,$53.63,$243.46,25.9%,$697.18,13
WSM Ventures,1598,7/29/2023,"$13,153.59","$1,879",$0.00,-,20.7,0.0,145,0,0.0%,"$1,246.53",8.7%,$8.60,$90.71,$0.00,-100.0%,81.4%,0.0%,0.0%,31.7%,17.2%,5.5%,4.1%,3.4%,3.4%,2.1%,$90.71,12.3,23.3%,70.6%,0,$0.00,0,0.0%,0.0%,16.6%,0.0%,$70.17,$525.91,23.8%,"$1,684.11",24
WSM Ventures,1599,7/29/2023,"$23,923.11","$3,418",$0.00,-,36.0,0.0,252,0,0.0%,"$1,641.06",6.4%,$6.51,$94.93,$0.00,-100.0%,87.3%,0.0%,0.0%,37.7%,15.9%,7.1%,5.6%,10.7%,2.8%,1.2%,$94.58,10.3,25.2%,72.2%,0,$0.00,0,0.0%,0.0%,4.0%,0.0%,$91.21,$267.27,22.7%,$912.11,10
WSM Ventures,1600,7/29/2023,"$14,646.12","$2,092",$0.00,-,23.0,0.0,161,0,0.0%,"$1,078.08",6.9%,$6.70,$90.97,$0.00,-100.0%,78.9%,0.0%,0.0%,39.1%,8.7%,10.6%,3.7%,13.7%,1.9%,4.3%,$89.82,12.8,17.5%,75.9%,0,$0.00,0,0.0%,0.0%,10.6%,0.0%,$71.88,$326.16,21.1%,"$1,222.04",17
WSM Ventures,1198,8/5/2023,"$27,901.07","$3,986",$0.00,-,42.3,0.0,296,0,0.0%,"$3,699.19",11.7%,$12.50,$94.26,$0.00,-100.0%,86.1%,0.0%,0.0%,37.5%,11.8%,4.7%,2.7%,6.1%,8.1%,6.8%,$92.99,10.3,31.7%,73.7%,0,$0.00,0,0.0%,0.0%,17.6%,0.0%,$57.51,"$1,940.92",39.4%,"$2,990.30",52
WSM Ventures,1199,8/5/2023,"$25,691.74","$3,670",$0.00,-,35.6,0.0,249,0,0.0%,"$1,348.13",5.0%,$5.41,$103.18,$0.00,-100.0%,88.0%,0.0%,0.0%,41.8%,19.3%,7.2%,4.0%,4.8%,4.4%,6.0%,$102.87,9.1,33.6%,66.9%,0,$0.00,0,0.0%,0.0%,4.0%,0.0%,$142.57,$226.25,13.7%,"$1,425.74",10
WSM Ventures,1200,8/5/2023,"$26,668.37","$3,810",$0.00,-,37.0,0.0,259,0,0.0%,"$1,244.25",4.5%,$4.80,$102.97,$0.00,-100.0%,78.4%,0.0%,0.0%,38.6%,9.3%,6.2%,4.2%,5.0%,6.9%,11.2%,$99.26,11.8,29.2%,70.7%,41,$26.18,4,7.3%,15.8%,2.3%,0.0%,$83.41,$148.88,22.9%,$500.45,6
WSM Ventures,1201,8/5/2023,"$18,271.33","$2,610",$0.00,-,27.1,0.0,190,0,0.0%,"$1,816.00",9.0%,$9.56,$96.16,$0.00,-100.0%,86.8%,0.0%,0.0%,45.8%,18.9%,2.6%,1.1%,12.6%,4.2%,7.4%,$94.58,11.6,34.8%,68.0%,0,$0.00,0,0.0%,0.0%,10.5%,0.0%,$60.88,$298.11,19.7%,"$1,217.62",20
WSM Ventures,1202,8/5/2023,"$31,462.62","$4,495",$0.00,-,45.3,0.0,317,0,0.0%,"$2,486.64",7.3%,$7.84,$99.25,$0.00,-100.0%,83.6%,0.0%,0.0%,39.1%,22.1%,5.0%,2.8%,3.2%,4.7%,4.1%,$97.69,13.3,26.1%,71.9%,0,$0.00,0,0.0%,0.0%,1.6%,0.0%,$75.92,$126.24,25.0%,$379.60,5
WSM Ventures,1203,8/5/2023,"$13,626.45","$1,947",$0.00,-,19.6,0.0,137,0,0.0%,$932.73,6.4%,$6.81,$99.46,$0.00,-100.0%,82.5%,0.0%,0.0%,57.7%,22.6%,13.9%,5.8%,8.0%,3.6%,9.5%,$99.46,9.3,36.3%,57.3%,0,$0.00,0,0.0%,0.0%,5.1%,0.0%,$62.97,$127.04,22.4%,$440.77,7
WSM Ventures,1204,8/5/2023,"$18,799.23","$2,686",$0.00,-,26.0,0.0,182,0,0.0%,"$1,007.10",5.1%,$5.53,$103.29,$0.00,-100.0%,87.4%,0.0%,0.0%,45.6%,23.6%,4.9%,2.2%,4.9%,6.0%,6.0%,$102.89,9.9,48.5%,46.5%,0,$0.00,0,0.0%,0.0%,3.3%,0.0%,$81.06,$87.52,15.3%,$486.34,6
WSM Ventures,1205,8/5/2023,"$25,567.69","$3,653",$0.00,-,32.7,0.0,229,0,0.0%,"$1,965.34",7.1%,$8.58,$111.65,$0.00,-100.0%,89.5%,0.0%,0.0%,66.4%,20.1%,9.2%,7.0%,10.9%,18.8%,7.4%,$109.28,13.2,39.1%,56.3%,0,$0.00,0,0.0%,0.0%,5.7%,0.0%,$95.88,$314.75,20.2%,"$1,246.50",13
WSM Ventures,1206,8/5/2023,"$18,195.06","$2,599",$0.00,-,22.7,0.0,159,0,0.0%,"$1,416.95",7.2%,$8.91,$114.43,$0.00,-100.0%,96.2%,0.0%,0.0%,54.7%,20.8%,3.8%,1.9%,5.0%,15.7%,9.4%,$111.88,9.9,41.1%,58.8%,0,$0.00,0,0.0%,0.0%,4.4%,0.0%,$77.76,$183.68,25.2%,$544.35,7
WSM Ventures,1207,8/5/2023,"$16,496.27","$2,357",$0.00,-,26.1,0.0,183,0,0.0%,"$1,869.82",10.2%,$10.22,$90.14,$0.00,-100.0%,82.5%,0.0%,0.0%,39.3%,25.1%,2.2%,1.6%,8.7%,1.6%,1.6%,$89.58,11.7,37.1%,63.8%,0,$0.00,0,0.0%,0.0%,7.7%,0.0%,$46.92,$274.72,29.5%,$656.91,14
WSM Ventures,1598,8/5/2023,"$14,379.56","$2,054",$0.00,-,24.1,0.0,169,0,0.0%,"$1,729.12",10.7%,$10.23,$85.09,$0.00,-100.0%,75.1%,0.0%,0.0%,29.0%,14.8%,5.9%,3.6%,5.3%,1.8%,1.2%,$84.99,12.0,26.0%,73.4%,0,$0.00,0,0.0%,0.0%,20.7%,0.0%,$57.77,$709.75,26.0%,"$2,021.93",35
WSM Ventures,1599,8/5/2023,"$23,012.11","$3,287",$0.00,-,31.7,0.0,222,0,0.0%,"$1,287.97",5.3%,$5.80,$103.66,$0.00,-100.0%,85.1%,0.0%,0.0%,47.3%,19.4%,7.2%,4.1%,7.7%,8.6%,4.5%,$101.51,12.0,22.7%,73.2%,0,$0.00,0,0.0%,0.0%,4.5%,0.0%,$96.33,$139.68,12.7%,$963.25,10
WSM Ventures,1600,8/5/2023,"$12,333.77","$2,056",$0.00,-,21.8,0.0,131,0,0.0%,"$1,154.78",8.6%,$8.82,$94.15,$0.00,-100.0%,84.0%,0.0%,0.0%,51.9%,15.3%,13.7%,8.4%,12.2%,2.3%,8.4%,$93.30,12.6,27.9%,72.4%,0,$0.00,0,0.0%,0.0%,13.7%,0.0%,$101.43,$413.96,18.5%,"$1,825.82",18
WSM Ventures,1198,8/12/2023,"$24,833.92","$3,548",$0.00,-,38.9,0.0,272,0,0.0%,"$3,309.83",11.8%,$12.17,$91.30,$0.00,-100.0%,76.5%,0.0%,0.0%,45.2%,17.6%,4.0%,2.2%,9.2%,7.4%,7.0%,$90.90,10.5,29.1%,74.1%,0,$0.00,0,0.0%,0.0%,18.8%,0.0%,$56.77,"$1,735.83",37.5%,"$2,895.41",51
WSM Ventures,1199,8/12/2023,"$22,011.07","$3,144",$0.00,-,32.4,0.0,227,0,0.0%,"$1,323.60",5.7%,$5.83,$96.97,$0.00,-100.0%,79.3%,0.0%,0.0%,34.8%,18.1%,4.8%,1.8%,4.4%,2.6%,4.8%,$96.57,9.4,33.5%,66.8%,0,$0.00,0,0.0%,0.0%,3.1%,0.0%,$112.37,$150.95,16.1%,$786.56,7
WSM Ventures,1200,8/12/2023,"$27,643.89","$3,949",$0.00,-,36.9,0.0,258,0,0.0%,"$1,345.04",4.6%,$5.21,$107.15,$0.00,-100.0%,86.8%,0.0%,0.0%,51.9%,17.1%,7.8%,3.5%,8.9%,4.3%,13.2%,$106.10,11.5,26.8%,69.8%,18,$51.76,5,0.0%,7.0%,0.8%,0.0%,$68.97,$22.99,14.3%,$137.94,2
WSM Ventures,1201,8/12/2023,"$19,970.71","$2,853",$0.00,-,26.6,0.0,186,0,0.0%,"$1,894.96",8.7%,$10.19,$107.37,$0.00,-100.0%,89.8%,0.0%,0.0%,70.4%,27.4%,7.0%,3.2%,20.4%,5.9%,9.7%,$103.24,11.9,35.5%,68.6%,0,$0.00,0,0.0%,0.0%,6.5%,0.0%,$60.23,$187.18,20.6%,$722.77,12
WSM Ventures,1202,8/12/2023,"$26,571.08","$3,796",$0.00,-,37.4,0.0,262,0,0.0%,"$1,446.70",5.2%,$5.52,$101.42,$0.00,-100.0%,84.0%,0.0%,0.0%,39.7%,19.5%,1.9%,1.1%,10.7%,3.4%,4.2%,$101.19,12.9,26.9%,71.1%,0,$0.00,0,0.0%,0.0%,0.8%,0.0%,$138.34,$16.24,5.5%,$276.67,2
WSM Ventures,1203,8/12/2023,"$13,156.71","$1,880",$0.00,-,19.6,0.0,137,0,0.0%,"$1,138.63",8.0%,$8.31,$96.03,$0.00,-100.0%,83.2%,0.0%,0.0%,48.9%,21.9%,7.3%,6.6%,13.1%,1.5%,5.1%,$95.57,9.4,42.9%,55.6%,0,$0.00,0,0.0%,0.0%,14.6%,0.0%,$83.13,$407.76,19.7%,"$1,662.50",20
WSM Ventures,1204,8/12/2023,"$16,671.57","$2,382",$0.00,-,22.6,0.0,158,0,0.0%,$815.74,4.7%,$5.16,$105.52,$0.00,-100.0%,90.5%,0.0%,0.0%,42.4%,17.7%,4.4%,3.8%,3.2%,7.0%,10.1%,$104.81,9.9,49.4%,46.2%,0,$0.00,0,0.0%,0.0%,1.3%,0.0%,$106.42,$33.09,13.5%,$212.83,2
WSM Ventures,1205,8/12/2023,"$26,965.64","$3,852",$0.00,-,35.9,0.0,251,0,0.0%,"$1,908.55",6.6%,$7.60,$107.43,$0.00,-100.0%,89.2%,0.0%,0.0%,63.7%,20.7%,14.7%,9.2%,13.5%,8.8%,6.0%,$106.94,12.3,46.6%,55.5%,0,$0.00,0,0.0%,0.0%,8.0%,0.0%,$87.68,$497.38,22.1%,"$1,753.62",20
WSM Ventures,1206,8/12/2023,"$15,625.68","$2,232",$0.00,-,19.9,0.0,139,0,0.0%,"$1,218.59",7.2%,$8.77,$112.41,$0.00,-100.0%,97.8%,0.0%,0.0%,44.6%,23.7%,2.9%,0.0%,2.9%,12.2%,2.9%,$112.08,10.1,41.3%,60.3%,0,$0.00,0,0.0%,0.0%,5.0%,0.0%,$68.37,$112.26,19.0%,$478.58,7
WSM Ventures,1207,8/12/2023,"$19,584.73","$2,798",$0.00,-,30.7,0.0,215,0,0.0%,"$2,163.66",9.9%,$10.06,$91.09,$0.00,-100.0%,77.2%,0.0%,0.0%,37.2%,22.8%,3.7%,1.4%,7.0%,3.3%,0.5%,$90.61,11.9,34.0%,62.3%,0,$0.00,0,0.0%,0.0%,8.8%,0.0%,$49.03,$317.84,25.4%,$931.66,19
WSM Ventures,1598,8/12/2023,"$13,117.87","$1,874",$0.00,-,22.0,0.0,154,0,0.0%,"$1,755.26",11.8%,$11.40,$85.18,$0.00,-100.0%,77.3%,0.0%,0.0%,28.6%,18.2%,5.2%,3.9%,4.5%,0.0%,0.6%,$84.43,13.5,18.6%,73.1%,0,$0.00,0,0.0%,0.0%,20.8%,0.0%,$71.31,$719.65,24.0%,"$2,281.86",32
WSM Ventures,1599,8/12/2023,"$20,231.19","$2,890",$0.00,-,28.7,0.0,201,0,0.0%,"$1,177.57",5.5%,$5.86,$100.65,$0.00,-100.0%,87.6%,0.0%,0.0%,45.3%,17.9%,9.0%,6.5%,8.5%,3.5%,6.5%,$100.41,12.2,28.1%,73.2%,0,$0.00,0,0.0%,0.0%,3.0%,0.0%,$90.00,$113.94,17.4%,$540.02,6
WSM Ventures,1600,8/12/2023,"$17,900.80","$2,557",$0.00,-,24.4,0.0,171,0,0.0%,"$1,707.64",8.7%,$9.99,$104.68,$0.00,-100.0%,84.2%,0.0%,0.0%,73.7%,19.3%,15.2%,8.2%,15.2%,4.7%,19.3%,$104.40,13.4,20.3%,72.1%,0,$0.00,0,0.0%,0.0%,15.8%,0.0%,$111.22,$761.50,20.2%,"$3,002.88",27
WSM Ventures,1198,8/19/2023,"$28,092.75","$4,013",$0.00,-,43.9,0.0,307,0,0.0%,"$4,058.73",12.6%,$13.22,$91.51,$0.00,-100.0%,77.9%,0.0%,0.0%,41.0%,15.0%,3.9%,1.6%,6.5%,7.5%,8.1%,$88.72,9.9,29.4%,72.7%,0,$0.00,0,0.0%,0.0%,16.6%,0.0%,$52.22,"$2,020.89",43.1%,"$2,663.08",51
WSM Ventures,1199,8/19/2023,"$24,209.19","$3,458",$0.00,-,36.7,0.0,257,0,0.0%,"$1,422.27",5.5%,$5.53,$94.20,$0.00,-100.0%,81.3%,0.0%,0.0%,25.7%,12.5%,3.9%,2.7%,4.7%,2.7%,1.9%,$93.78,8.9,32.0%,68.9%,0,$0.00,0,0.0%,0.0%,2.7%,0.0%,$80.62,$106.45,15.9%,$564.37,7
WSM Ventures,1200,8/19/2023,"$26,865.86","$3,838",$0.00,-,36.7,0.0,257,0,0.0%,"$1,487.98",5.2%,$5.79,$104.54,$0.00,-100.0%,81.7%,0.0%,0.0%,48.2%,10.9%,11.7%,5.1%,8.6%,4.7%,12.1%,$102.11,11.4,28.8%,70.3%,36,$45.68,10,5.6%,14.0%,1.9%,0.0%,$80.31,$101.32,20.1%,$401.53,5
WSM Ventures,1201,8/19/2023,"$20,732.09","$2,962",$0.00,-,31.3,0.0,219,0,0.0%,"$2,046.22",9.0%,$9.34,$94.67,$0.00,-100.0%,86.3%,0.0%,0.0%,43.4%,19.6%,2.3%,0.9%,14.2%,2.3%,5.0%,$94.17,12.4,36.2%,68.8%,0,$0.00,0,0.0%,0.0%,7.3%,0.0%,$54.67,$215.93,19.8%,$874.68,16
WSM Ventures,1202,8/19/2023,"$32,820.63","$4,689",$0.00,-,43.3,0.0,303,0,0.0%,"$2,030.89",5.8%,$6.70,$108.32,$0.00,-100.0%,84.5%,0.0%,0.0%,52.8%,24.4%,4.6%,3.3%,11.9%,5.9%,5.9%,$107.53,12.3,26.8%,72.0%,0,$0.00,0,0.0%,0.0%,3.0%,0.0%,$62.45,$165.70,22.8%,$562.05,9
WSM Ventures,1203,8/19/2023,"$13,936.18","$1,991",$0.00,-,22.4,0.0,157,0,0.0%,"$1,432.28",9.3%,$9.12,$88.77,$0.00,-100.0%,86.0%,0.0%,0.0%,33.8%,12.7%,7.6%,5.1%,8.9%,2.5%,1.9%,$87.62,8.9,35.3%,56.8%,0,$0.00,0,0.0%,0.0%,11.5%,0.0%,$74.21,$400.45,23.1%,"$1,335.85",18
WSM Ventures,1204,8/19/2023,"$16,772.22","$2,396",$0.00,-,23.4,0.0,164,0,0.0%,$796.47,4.5%,$4.86,$102.27,$0.00,-100.0%,87.8%,0.0%,0.0%,40.9%,21.3%,1.2%,0.0%,3.7%,9.1%,5.5%,$101.64,9.4,48.4%,46.9%,0,$0.00,0,0.0%,0.0%,2.4%,0.0%,$132.80,$173.67,24.6%,$531.18,4
WSM Ventures,1205,8/19/2023,"$26,690.13","$3,813",$0.00,-,35.6,0.0,249,0,0.0%,"$2,199.08",7.6%,$8.83,$107.19,$0.00,-100.0%,88.0%,0.0%,0.0%,64.7%,22.5%,10.4%,8.0%,14.5%,7.2%,10.0%,$105.17,12.5,39.5%,56.4%,0,$0.00,0,0.0%,0.0%,7.6%,0.0%,$90.74,$433.66,20.1%,"$1,724.08",19
WSM Ventures,1206,8/19/2023,"$14,866.46","$2,124",$0.00,-,19.3,0.0,135,0,0.0%,"$1,059.81",6.7%,$7.85,$110.12,$0.00,-100.0%,94.8%,0.0%,0.0%,54.1%,25.2%,7.4%,1.5%,3.0%,6.7%,11.9%,$109.40,10.1,36.4%,60.7%,0,$0.00,0,0.0%,0.0%,5.9%,0.0%,$84.03,$189.52,22.0%,$672.23,8
WSM Ventures,1207,8/19/2023,"$15,394.03","$2,199",$0.00,-,26.9,0.0,188,0,0.0%,"$2,218.26",12.6%,$11.80,$81.88,$0.00,-100.0%,73.4%,0.0%,0.0%,21.8%,13.8%,1.1%,0.5%,4.3%,2.7%,0.0%,$81.02,11.4,31.9%,63.4%,0,$0.00,0,0.0%,0.0%,13.8%,0.0%,$42.06,$399.99,26.8%,"$1,093.45",26
WSM Ventures,1598,8/19/2023,"$16,177.19","$2,311",$0.00,-,25.1,0.0,176,0,0.0%,"$1,925.39",10.6%,$10.94,$91.92,$0.00,-100.0%,79.0%,0.0%,0.0%,48.3%,23.3%,7.4%,5.1%,8.5%,2.8%,6.3%,$90.93,13.2,27.0%,72.5%,0,$0.00,0,0.0%,0.0%,19.9%,0.0%,$68.91,$765.85,24.1%,"$2,411.68",35
WSM Ventures,1599,8/19/2023,"$18,537.16","$2,648",$0.00,-,29.3,0.0,205,0,0.0%,"$1,504.36",7.5%,$7.34,$90.43,$0.00,-100.0%,89.3%,0.0%,0.0%,34.1%,17.6%,4.4%,3.4%,6.3%,2.9%,2.9%,$90.06,11.4,24.6%,73.1%,0,$0.00,0,0.0%,0.0%,2.0%,0.0%,$74.40,$69.28,18.9%,$297.61,4
WSM Ventures,1600,8/19/2023,"$17,164.72","$2,452",$0.00,-,24.9,0.0,174,0,0.0%,"$1,282.00",6.9%,$7.37,$98.65,$0.00,-100.0%,80.5%,0.0%,0.0%,60.3%,21.8%,8.6%,3.4%,14.4%,3.4%,12.1%,$98.55,13.3,29.4%,75.2%,0,$0.00,0,0.0%,0.0%,11.5%,0.0%,$87.70,$406.19,18.8%,"$1,754.04",20
WSM Ventures,1198,8/26/2023,"$28,859.72","$4,123",$0.00,-,40.9,0.0,286,0,0.0%,"$3,894.86",11.9%,$13.62,$100.91,$0.00,-100.0%,83.6%,0.0%,0.0%,49.7%,15.0%,2.8%,2.4%,6.6%,16.4%,8.7%,$98.00,10.3,28.0%,72.4%,0,$0.00,0,0.0%,0.0%,16.8%,0.0%,$58.58,"$2,090.25",42.6%,"$2,811.92",48
WSM Ventures,1199,8/26/2023,"$23,198.06","$3,314",$0.00,-,34.6,0.0,242,0,0.0%,"$1,389.33",5.7%,$5.74,$95.86,$0.00,-100.0%,83.9%,0.0%,0.0%,28.9%,16.9%,5.0%,2.1%,2.5%,1.7%,2.9%,$94.67,7.4,30.0%,69.5%,0,$0.00,0,0.0%,0.0%,5.0%,0.0%,$96.08,$242.87,17.4%,"$1,152.96",12
WSM Ventures,1200,8/26/2023,"$27,817.11","$3,974",$0.00,-,34.6,0.0,242,0,0.0%,"$1,490.65",5.1%,$6.16,$114.95,$0.00,-100.0%,82.2%,0.0%,0.0%,64.0%,21.5%,9.1%,5.8%,12.8%,9.5%,11.2%,$112.32,11.9,30.9%,71.4%,31,$52.01,8,6.5%,12.8%,2.9%,0.0%,$117.63,$109.09,11.7%,$823.39,7
WSM Ventures,1201,8/26/2023,"$21,731.83","$3,105",$0.00,-,30.9,0.0,216,0,0.0%,"$2,173.79",9.1%,$10.06,$100.61,$0.00,-100.0%,92.1%,0.0%,0.0%,51.4%,24.1%,2.8%,0.9%,14.4%,1.9%,8.3%,$100.16,11.8,38.0%,66.6%,0,$0.00,0,0.0%,0.0%,8.3%,0.0%,$62.08,$344.08,23.5%,"$1,117.45",18
WSM Ventures,1202,8/26/2023,"$26,225.75","$3,747",$0.00,-,35.9,0.0,251,0,0.0%,"$1,325.44",4.8%,$5.28,$104.49,$0.00,-100.0%,80.1%,0.0%,0.0%,44.6%,18.7%,5.6%,4.4%,12.7%,4.8%,2.8%,$103.53,11.7,30.5%,72.0%,0,$0.00,0,0.0%,0.0%,2.4%,0.0%,$94.36,$84.67,13.0%,$566.14,6
WSM Ventures,1203,8/26/2023,"$13,102.95","$1,872",$0.00,-,18.6,0.0,130,0,0.0%,"$1,160.51",8.1%,$8.93,$100.79,$0.00,-100.0%,84.6%,0.0%,0.0%,56.2%,19.2%,9.2%,5.4%,13.8%,6.9%,6.9%,$100.38,9.7,41.4%,58.2%,0,$0.00,0,0.0%,0.0%,9.2%,0.0%,$84.44,$268.88,21.0%,"$1,013.31",12
WSM Ventures,1204,8/26/2023,"$16,605.86","$2,372",$0.00,-,23.0,0.0,161,0,0.0%,$912.52,5.2%,$5.67,$103.14,$0.00,-100.0%,82.6%,0.0%,0.0%,45.3%,18.0%,5.0%,3.1%,1.2%,11.8%,9.3%,$103.06,11.1,44.1%,47.0%,0,$0.00,0,0.0%,0.0%,1.9%,0.0%,$98.56,$86.23,22.6%,$295.67,3
WSM Ventures,1205,8/26/2023,"$26,267.54","$3,753",$0.00,-,36.1,0.0,253,0,0.0%,"$1,830.58",6.5%,$7.24,$103.82,$0.00,-100.0%,86.2%,0.0%,0.0%,63.6%,22.1%,9.9%,7.1%,10.7%,10.3%,10.7%,$102.50,11.6,39.4%,58.3%,0,$0.00,0,0.0%,0.0%,5.1%,0.0%,$83.48,$300.11,21.7%,"$1,085.19",13
WSM Ventures,1206,8/26/2023,"$17,482.20","$2,497",$0.00,-,22.3,0.0,156,0,0.0%,"$1,629.75",8.5%,$10.45,$112.07,$0.00,-100.0%,96.8%,0.0%,0.0%,43.6%,21.8%,1.9%,1.3%,2.6%,13.5%,3.8%,$109.04,10.2,34.3%,59.0%,0,$0.00,0,0.0%,0.0%,8.3%,0.0%,$54.03,$518.20,42.5%,$702.43,13
WSM Ventures,1207,8/26/2023,"$14,528.24","$2,075",$0.00,-,23.7,0.0,166,0,0.0%,"$1,558.90",9.7%,$9.39,$87.52,$0.00,-100.0%,78.9%,0.0%,0.0%,29.5%,18.7%,3.0%,0.6%,4.8%,2.4%,0.6%,$86.26,12.2,31.7%,66.2%,0,$0.00,0,0.0%,0.0%,8.4%,0.0%,$46.66,$244.40,27.2%,$653.23,14
